Run	selection_group	condition	delta_variants	delta_snps	delta_indels	jaccard_vs_baseline	sites_lost_vs_baseline	sites_gained_vs_baseline
SRR10168191	high_multi|high_organelle_compatible	remove_multi_primary	-1	0	-1	0.999795333606222	1	0
SRR10168191	high_multi|high_organelle_compatible	remove_all_organelle_any_mapq	-1	0	-1	0.999795333606222	1	0
SRR10168185	high_multi|high_organelle_compatible	remove_multi_primary	0	0	0	1.0	0	0
SRR10168185	high_multi|high_organelle_compatible	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168223	high_multi|high_organelle_compatible	remove_multi_primary	0	0	0	1.0	0	0
SRR10168223	high_multi|high_organelle_compatible	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168207	high_organelle_compatible	remove_multi_primary	0	0	0	1.0	0	0
SRR10168207	high_organelle_compatible	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168199	high_multi	remove_multi_primary	0	0	0	1.0	0	0
SRR10168199	high_multi	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168249	low_control	remove_multi_primary	0	0	0	1.0	0	0
SRR10168249	low_control	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10239510	low_control	remove_multi_primary	0	0	0	1.0	0	0
SRR10239510	low_control	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168260	low_control	remove_multi_primary	0	0	0	1.0	0	0
SRR10168260	low_control	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
SRR10168216	low_control	remove_multi_primary	0	0	0	1.0	0	0
SRR10168216	low_control	remove_all_organelle_any_mapq	0	0	0	1.0	0	0
