MAPQ	metric	n_runs	median	q1	q3	iqr	p95	maximum
0	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
0	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
0	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
10	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
10	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
10	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
20	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
20	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
20	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
30	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
30	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
30	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
40	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
40	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
40	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
50	frac_strict_total	141	0.0	0.0	0.0	0.0	0.0	1.1106175033318526e-05
50	frac_inclusive_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
50	frac_multi_total	141	0.0	0.0	0.0	0.0	1.1137221708672556e-05	6.641429235571495e-05
