Run	selection_group	selection_rank	selection_reason	spots	LibraryStrategy	LibraryLayout	Platform	Model	BioProject	frac_strict_total	frac_inclusive_total	frac_multi_total	decision_one_threshold	decision_framework	reclassified
DRR496172	high_strict	1	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	4761237	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.3215450102567883	0.4674505805949168	0.1459055703381285	Exclude	Exclude	False
DRR496271	high_strict	2	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	4605265	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.2916527061960604	0.3733776449346563	0.0817249387385959	Exclude	Exclude	False
SRR22479806	high_strict	3	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	954624	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.1210162325690533	0.1406742340439796	0.0196580014749262	Sensitivity analysis	Sensitivity analysis	False
ERR3666159	high_strict	4	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	2424936	RAD-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	PRJEB34584	0.1168121550424423	0.134982119115721	0.0181699640732786	Sensitivity analysis	Sensitivity analysis	False
SRR22509101	high_strict	5	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	3189942	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.1048956376009344	0.1298678784755334	0.0249722408745989	Sensitivity analysis	Sensitivity analysis	False
ERR3666265	high_strict	6	Highest strict organelle-compatible fractions at the prespecified primary MAPQ, with project diversity where possible.	3157691	RAD-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	PRJEB34584	0.0970436942690085	0.1154593657200783	0.0184156714510697	Sensitivity analysis	Sensitivity analysis	False
DRR496188	high_multi	1	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	3930949	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.2676407147485251	0.4299686920384874	0.1623279772899623	Exclude	Exclude	False
DRR496181	high_multi	2	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	4609109	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.2776126578911455	0.4333384174685389	0.1557257595773933	Exclude	Exclude	False
SRR12853359	high_multi	3	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	2343902	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2500	PRJNA669447	0.0212517417537081	0.0614338824746085	0.0401821407209004	Sensitivity analysis	Sensitivity analysis	False
ERR3588937	high_multi	4	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	14719890	RAD-Seq	PAIRED	ILLUMINA	Illumina MiSeq	PRJEB34584	0.0396906498621932	0.0795736924664518	0.0398830426042585	Sensitivity analysis	Sensitivity analysis	False
SRR22509101	high_multi	5	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	3189942	RAD-Seq	SINGLE	ILLUMINA	Illumina NovaSeq 6000	PRJNA907022	0.1048956376009344	0.1298678784755334	0.0249722408745989	Sensitivity analysis	Sensitivity analysis	False
SRR2050366	high_multi	6	Highest nuclear-organelle multi-reference fractions at the prespecified primary MAPQ, with project diversity where possible.	5459684	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.017791689042809	0.0410730730936076	0.0232813840507985	Retain	Sensitivity analysis	True
DRR496361	reclassified	1	Runs whose triage category changed after strict signal and ambiguity were reported separately.	2959609	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.1834965361978558	0.3267120758181233	0.1432155396202674	Exclude	Sensitivity analysis	True
DRR496360	reclassified	2	Runs whose triage category changed after strict signal and ambiguity were reported separately.	2822033	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.1947652631985522	0.3123071204340984	0.1175418572355461	Exclude	Sensitivity analysis	True
SRR2050366	reclassified	3	Runs whose triage category changed after strict signal and ambiguity were reported separately.	5459684	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.017791689042809	0.0410730730936076	0.0232813840507985	Retain	Sensitivity analysis	True
SRR2050376	reclassified	4	Runs whose triage category changed after strict signal and ambiguity were reported separately.	1178614	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2000	PRJNA285775	0.0175994854973723	0.0402727271184628	0.0226732416210905	Retain	Sensitivity analysis	True
SRR12853364	reclassified	5	Runs whose triage category changed after strict signal and ambiguity were reported separately.	6160237	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2500	PRJNA669447	0.0148564089336173	0.0309856585063204	0.0161292495727031	Retain	Sensitivity analysis	True
SRR12853360	reclassified	6	Runs whose triage category changed after strict signal and ambiguity were reported separately.	5435832	RAD-Seq	PAIRED	ILLUMINA	Illumina HiSeq 2500	PRJNA669447	0.0102742321690589	0.0250598252484624	0.0147855930794034	Retain	Sensitivity analysis	True
DRR496374	low_control	1	Low strict/ambiguity controls matched where possible by BioProject, layout, strategy, and log10(spots).	6158595	RAD-Seq	PAIRED	ILLUMINA	HiSeq X Ten	PRJDB16402	0.0018966988412129	0.0035266160544734	0.0016299172132604	Retain	Retain	False
