Run	selection_group	condition	delta_variants	delta_snps	delta_indels	jaccard_vs_baseline	sites_lost_vs_baseline	sites_gained_vs_baseline
DRR496172	high_strict	remove_multi_primary	-978	-877	-101	0.9903638478152516	982	4
DRR496172	high_strict	remove_all_organelle_any_mapq	-1018	-914	-104	0.9899923770059224	1021	3
DRR496271	high_strict	remove_multi_primary	-871	-793	-78	0.9925859506670984	882	11
DRR496271	high_strict	remove_all_organelle_any_mapq	-919	-835	-84	0.9921543557854362	932	13
SRR22479806	high_strict	remove_multi_primary	-169	-160	-9	0.994270992237025	169	0
SRR22479806	high_strict	remove_all_organelle_any_mapq	-169	-160	-9	0.994270992237025	169	0
ERR3666159	high_strict	remove_multi_primary	-209	-192	-17	0.9983318567472004	209	0
ERR3666159	high_strict	remove_all_organelle_any_mapq	-257	-238	-19	0.9979168495741912	259	2
SRR22509101	high_multi|high_strict	remove_multi_primary	-218	-198	-20	0.9983429361954425	218	0
SRR22509101	high_multi|high_strict	remove_all_organelle_any_mapq	-254	-228	-26	0.9980692926313868	254	0
ERR3666265	high_strict	remove_multi_primary	-202	-188	-14	0.9986837350952356	203	1
ERR3666265	high_strict	remove_all_organelle_any_mapq	-241	-225	-16	0.9984320962163836	242	1
DRR496188	high_multi	remove_multi_primary	-878	-792	-86	0.9924932079414838	888	10
DRR496188	high_multi	remove_all_organelle_any_mapq	-921	-834	-87	0.9921337513061652	931	10
DRR496181	high_multi	remove_multi_primary	-704	-641	-63	0.9922467113860092	708	4
DRR496181	high_multi	remove_all_organelle_any_mapq	-742	-676	-66	0.9918329122745884	746	4
SRR12853359	high_multi	remove_multi_primary	-223	-201	-22	0.9988979405567584	225	2
SRR12853359	high_multi	remove_all_organelle_any_mapq	-311	-285	-26	0.9984707104642244	313	2
ERR3588937	high_multi	remove_multi_primary	-3740	-3436	-304	0.9979617061161262	3999	259
ERR3588937	high_multi	remove_all_organelle_any_mapq	-4644	-4279	-365	0.9974496011411694	4986	342
SRR2050366	high_multi|reclassified|prjna285775_sbfI_rad_contrast	remove_multi_primary	-723	-676	-47	0.9953156440318728	798	75
SRR2050366	high_multi|reclassified|prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-787	-737	-50	0.9948651911468812	872	85
DRR496361	reclassified	remove_multi_primary	-1264	-1135	-129	0.9932333335098243	1271	7
DRR496361	reclassified	remove_all_organelle_any_mapq	-1314	-1179	-135	0.992947492706585	1323	9
DRR496360	reclassified	remove_multi_primary	-772	-689	-83	0.9948036687665242	784	12
DRR496360	reclassified	remove_all_organelle_any_mapq	-810	-722	-88	0.9945556027026144	822	12
SRR2050376	reclassified|prjna285775_sbfI_rad_contrast	remove_multi_primary	-148	-122	-26	0.9963406742976996	156	8
SRR2050376	reclassified|prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-168	-142	-26	0.9958053504094244	178	10
SRR12853364	reclassified	remove_multi_primary	-380	-353	-27	0.9989689831258703	381	1
SRR12853364	reclassified	remove_all_organelle_any_mapq	-503	-464	-39	0.9986370064883888	504	1
SRR12853360	reclassified	remove_multi_primary	-392	-361	-31	0.9988880139760272	393	1
SRR12853360	reclassified	remove_all_organelle_any_mapq	-527	-490	-37	0.9985070035363414	528	1
DRR496374	low_control	remove_multi_primary	-150	-139	-11	0.993462365591398	151	1
DRR496374	low_control	remove_all_organelle_any_mapq	-155	-144	-11	0.993247311827957	156	1
SRR22479178	low_control	remove_multi_primary	-381	-350	-31	0.9985872031681337	386	5
SRR22479178	low_control	remove_all_organelle_any_mapq	-415	-381	-34	0.9984643512697104	420	5
SRR22479657	low_control	remove_multi_primary	-92	-89	-3	0.998463362896895	92	0
SRR22479657	low_control	remove_all_organelle_any_mapq	-96	-93	-3	0.9983965525880644	96	0
SRR22508861	low_control	remove_multi_primary	-223	-211	-12	0.9986294634626022	223	0
SRR22508861	low_control	remove_all_organelle_any_mapq	-228	-216	-12	0.9985987339438264	228	0
SRR22508691	low_control	remove_multi_primary	-142	-132	-10	0.9987800228745712	143	1
SRR22508691	low_control	remove_all_organelle_any_mapq	-154	-143	-11	0.9986783581141186	155	1
SRR22479074	low_control	remove_multi_primary	-178	-162	-16	0.9985828251142498	178	0
SRR22479074	low_control	remove_all_organelle_any_mapq	-190	-173	-17	0.9984872852343116	190	0
SRR2050377	prjna285775_sbfI_rad_contrast	remove_multi_primary	-171	-159	-12	0.9958033831188396	183	12
SRR2050377	prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-170	-159	-11	0.9955672232742296	188	18
SRR2050374	prjna285775_sbfI_rad_contrast	remove_multi_primary	-99	-88	-11	0.9967787754273828	113	14
SRR2050374	prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-115	-104	-11	0.9966261637198448	124	9
SRR2050378	prjna285775_sbfI_rad_contrast	remove_multi_primary	-102	-91	-11	0.9965951824372395	118	16
SRR2050378	prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-126	-114	-12	0.9961882496442366	138	12
SRR2050389	prjna285775_sbfI_rad_contrast	remove_multi_primary	-141	-127	-14	0.9962106242008602	152	11
SRR2050389	prjna285775_sbfI_rad_contrast	remove_all_organelle_any_mapq	-165	-149	-16	0.9958846779818646	171	6
