MAPQ	metric	n_runs	median	q1	q3	iqr	p95	maximum
0	frac_strict_total	2679	3.717061311419415e-05	1.7724631400659043e-05	6.116909092620279e-05	4.344445952554374e-05	0.00012578518098869994	0.001527112705125
0	frac_inclusive_total	2679	0.0339322821171006	0.0184398034794934	0.07015116726357384	0.05171136378408044	0.43337584544569485	0.5953493438451711
0	frac_multi_total	2679	0.0338926846534676	0.0183196950483574	0.07010583098715635	0.05178613593879895	0.4333364961294663	0.5952945449860609
10	frac_strict_total	2679	0.0213545102693479	0.011441603853711	0.0397469435857268	0.0283053397320158	0.2056954721492929	0.3114951009580073
10	frac_inclusive_total	2679	0.0289449263526882	0.016105762560754702	0.051895176084115244	0.03578941352336054	0.3062557123914199	0.4674507906243692
10	frac_multi_total	2679	0.0069385187009654	0.0039102749117241	0.0130288941635264	0.0091186192518023	0.0975510323420315	0.173610240173556
20	frac_strict_total	2679	0.0238080613260279	0.012944142214797949	0.04402416263218885	0.0310800204173909	0.21247904629508593	0.3215450102567883
20	frac_inclusive_total	2679	0.0289406230601138	0.0160887571317715	0.05187536485847885	0.03578660772670735	0.30625512410633293	0.4674505805949168
20	frac_multi_total	2679	0.0045796100731112	0.0026592595229824	0.0087475826360525	0.006088323113070099	0.09249602323384253	0.1623279772899623
30	frac_strict_total	2679	0.0254263870632219	0.01395734488198785	0.0466986038784089	0.03274125899642105	0.24117509826298633	0.3822754464858607
30	frac_inclusive_total	2679	0.0289051732255827	0.01603050887056395	0.0518328544325629	0.03580234556199895	0.30625162125343564	0.467443859652439
30	frac_multi_total	2679	0.0031187766438125	0.0018043124039613	0.00612464845196955	0.00432033604800825	0.06637751827896719	0.1070131223414984
40	frac_strict_total	2679	0.0273268027026546	0.01493868840348375	0.04961837331610215	0.0346796849126184	0.24509666352922643	0.3881585814778806
40	frac_inclusive_total	2679	0.0288527670331718	0.015869496352849947	0.05171484425294215	0.0358453479000922	0.3061858253283302	0.4673978632023569
40	frac_multi_total	2679	0.0011676398401238	0.0007704525920211	0.00231306754263235	0.0015426149506112498	0.062154446986115816	0.1012985161215552
50	frac_strict_total	2679	0.0275018699879972	0.0150399652361017	0.050302404491185795	0.0352624392550841	0.26706479566107666	0.427264175255296
50	frac_inclusive_total	2679	0.0287580201649862	0.015813091108856703	0.0516725177524478	0.0358594266435911	0.3061081747099406	0.46730566027274
50	frac_multi_total	2679	0.0009970052892393	0.00066013976187455	0.00167745194784	0.0010173121859654499	0.039993855699082016	0.0645813517295696
