Run	selection_group	nuclear_qnames_primary__nuclear_contig_filtered	nuclear_qnames_primary__nuclear_masked_main	nuclear_qnames_primary__nuclear_masked_strict	multi_qnames_primary__nuclear_contig_filtered	multi_qnames_primary__nuclear_masked_main	multi_qnames_primary__nuclear_masked_strict	strict_organelle_qnames_primary__nuclear_contig_filtered	strict_organelle_qnames_primary__nuclear_masked_main	strict_organelle_qnames_primary__nuclear_masked_strict
DRR496172	high_strict	1542457	1933510	1903393	303943	694743	664691	1921700	1530900	1560952
DRR496181	high_multi	1758363	2136980	2104101	339109	717580	684746	1658195	1279724	1312558
DRR496188	high_multi	1548597	1841430	1793499	345272	637970	590101	1344913	1052215	1100084
DRR496271	high_strict	1891210	1963511	1904548	304160	376332	317436	1415343	1343171	1402067
DRR496360	reclassified	1469484	1511377	1448304	290227	331709	268956	591114	549632	612385
DRR496361	reclassified	1576267	1641273	1577178	359434	423930	360111	607506	543010	606829
DRR496374	low_control	293312	296381	295584	6981	10040	9253	14738	11679	12466
ERR3588937	high_multi	7452580	7529632	7529415	510040	587006	586815	661177	584211	584402
ERR3666159	high_strict	580004	580120	580241	43934	44061	44179	283389	283262	283144
ERR3666265	high_strict	715142	715294	715453	57987	58151	58309	306598	306434	306276
SRR12853359	high_multi	835538	836848	836522	92871	94164	93838	51122	49829	50155
SRR12853360	reclassified	1839393	1840226	1840048	79516	80370	80197	56697	55843	56016
SRR12853364	reclassified	2104997	2106545	2106531	97842	99365	99351	93040	91517	91531
SRR2050366	high_multi|reclassified|prjna285775_sbfI_rad_contrast	4076502	4079527	4078768	124153	127122	126377	100093	97124	97869
SRR2050374	prjna285775_sbfI_rad_contrast	1082364	1083440	1083172	23279	24355	24087	24838	23762	24030
SRR2050376	reclassified|prjna285775_sbfI_rad_contrast	897142	898026	897771	25829	26713	26458	21636	20752	21007
SRR2050377	prjna285775_sbfI_rad_contrast	1418972	1419953	1419673	39677	40658	40378	33827	32846	33126
SRR2050378	prjna285775_sbfI_rad_contrast	730018	730502	730382	17265	17747	17627	16841	16359	16479
SRR2050389	prjna285775_sbfI_rad_contrast	1055597	1056269	1056049	20144	20816	20596	24481	23809	24029
SRR22479074	low_control	1019191	1019878	1019986	6112	6803	6911	36539	35848	35740
SRR22479178	low_control	1464777	1465020	1465343	6428	6675	6998	46878	46631	46308
SRR22479657	low_control	285610	285642	285691	822	854	903	4463	4431	4382
SRR22479806	high_strict	260868	263163	263086	16469	18766	18689	117822	115525	115602
SRR22508691	low_control	1027613	1027923	1028063	5620	5932	6072	22582	22270	22130
SRR22508861	low_control	815189	816066	815986	5071	5953	5871	30991	30109	30191
SRR22509101	high_multi|high_strict	936236	938376	938061	77510	79660	79345	336761	334611	334926
