low_fraction	high_fraction	ambiguity_fraction	n_runs	retain	sensitivity_analysis	exclude	reclassified_vs_one_threshold	reclassified_fraction
0.025	0.15	0.005	2679	1250	1206	223	170	0.06345651362448675
0.025	0.15	0.01	2679	1361	1095	223	215	0.08025382605449795
0.025	0.15	0.02	2679	1390	1066	223	226	0.0843598357596118
0.025	0.2	0.005	2679	1250	1271	158	235	0.08771929824561403
0.025	0.2	0.01	2679	1361	1160	158	280	0.10451661067562523
0.025	0.2	0.02	2679	1390	1131	158	291	0.10862262038073908
0.025	0.25	0.005	2679	1250	1379	50	321	0.11982082866741321
0.025	0.25	0.01	2679	1361	1268	50	366	0.1366181410974244
0.025	0.25	0.02	2679	1390	1239	50	377	0.14072415080253825
0.05	0.15	0.005	2679	1441	1015	223	552	0.20604703247480402
0.05	0.15	0.01	2679	2002	454	223	143	0.05337812616648003
0.05	0.15	0.02	2679	2130	326	223	183	0.0683090705487122
0.05	0.2	0.005	2679	1441	1080	158	617	0.23030981709593132
0.05	0.2	0.01	2679	2002	519	158	208	0.07764091078760732
0.05	0.2	0.02	2679	2130	391	158	248	0.0925718551698395
0.05	0.25	0.005	2679	1441	1188	50	703	0.2624113475177305
0.05	0.25	0.01	2679	2002	627	50	294	0.10974244120940649
0.05	0.25	0.02	2679	2130	499	50	334	0.12467338559163867
0.1	0.15	0.005	2679	1446	1010	223	995	0.3714072415080254
0.1	0.15	0.01	2679	2098	358	223	343	0.1280328480776409
0.1	0.15	0.02	2679	2437	19	223	20	0.007465472191116088
0.1	0.2	0.005	2679	1446	1075	158	1060	0.3956700261291527
0.1	0.2	0.01	2679	2098	423	158	408	0.1522956326987682
0.1	0.2	0.02	2679	2437	84	158	85	0.03172825681224337
0.1	0.25	0.005	2679	1446	1183	50	1146	0.42777155655095184
0.1	0.25	0.01	2679	2098	531	50	494	0.18439716312056736
0.1	0.25	0.02	2679	2437	192	50	171	0.06382978723404255
