Run	spots	LibraryStrategy	LibraryLayout	Platform	Model	BioProject	ScientificName
SRR10168148	102022	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168149	102962	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168150	102153	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168151	102268	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168152	102349	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168153	101806	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168154	101954	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168155	101670	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168156	102221	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168157	102150	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168158	89842	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168159	102708	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168160	103035	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168161	102108	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168162	102474	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168163	102638	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168164	102001	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168165	102891	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168166	102252	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168167	103340	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168168	102349	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168169	90116	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168170	101093	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168171	103300	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168172	102219	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
